Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscriber Type,Zip Code
914782,296,9/1/2015 17:19,Market at 4th,76,9/1/2015 17:24,Temporary Transbay Terminal (Howard at Beale),55,406,Subscriber,94706
914809,746,9/1/2015 17:27,Mechanics Plaza (Market at Battery),75,9/1/2015 17:39,Market at 10th,67,479,Subscriber,94102
914874,636,9/1/2015 17:41,Civic Center BART (7th at Market),72,9/1/2015 17:52,Steuart at Market,74,450,Subscriber,94127
914894,370,9/1/2015 17:48,Golden Gate at Polk,59,9/1/2015 17:55,Powell Street BART,39,512,Subscriber,94102
914910,653,9/1/2015 17:53,Post at Kearny,47,9/1/2015 18:04,Market at 10th,67,500,Subscriber,94110
915223,287,9/1/2015 20:21,2nd at South Park,64,9/1/2015 20:26,Market at Sansome,77,672,Subscriber,94544
915346,909,9/2/2015 6:53,San Francisco Caltrain (Townsend at 4th),70,9/2/2015 7:08,South Van Ness at Market,66,512,Subscriber,95122
915455,212,9/2/2015 7:43,St James Park,13,9/2/2015 7:47,SJSU 4th at San Carlos,12,708,Subscriber,95112
915630,566,9/2/2015 8:23,San Francisco Caltrain (Townsend at 4th),70,9/2/2015 8:32,Harry Bridges Plaza (Ferry Building),50,137,Subscriber,94002
915901,794,9/2/2015 9:21,San Francisco Caltrain 2 (330 Townsend),69,9/2/2015 9:35,Harry Bridges Plaza (Ferry Building),50,270,Customer,94025
915964,703,9/2/2015 9:50,San Francisco Caltrain (Townsend at 4th),70,9/2/2015 10:02,Howard at 2nd,63,397,Subscriber,94070
915996,591,9/2/2015 10:07,San Jose Diridon Caltrain Station,2,9/2/2015 10:17,SJSU 4th at San Carlos,12,643,Subscriber,94040
916050,313,9/2/2015 11:01,Harry Bridges Plaza (Ferry Building),50,9/2/2015 11:07,Embarcadero at Sansome,60,353,Subscriber,94612
916065,906,9/2/2015 11:31,Market at 10th,67,9/2/2015 11:46,2nd at South Park,64,578,Customer,8757
916093,237,9/2/2015 11:50,Grant Avenue at Columbus Avenue,73,9/2/2015 11:54,Commercial at Montgomery,45,326,Subscriber,94133
916100,190,9/2/2015 11:54,Embarcadero at Folsom,51,9/2/2015 11:57,Harry Bridges Plaza (Ferry Building),50,344,Subscriber,94611
916108,527,9/2/2015 12:04,Powell Street BART,39,9/2/2015 12:13,San Francisco Caltrain 2 (330 Townsend),69,407,Subscriber,94597
916127,113,9/2/2015 12:28,Embarcadero at Folsom,51,9/2/2015 12:30,Embarcadero at Bryant,54,332,Subscriber,94103
916259,273,9/2/2015 14:44,Clay at Battery,41,9/2/2015 14:48,Harry Bridges Plaza (Ferry Building),50,461,Subscriber,94105
916326,761,9/2/2015 15:50,Mountain View Caltrain Station,28,9/2/2015 16:02,Rengstorff Avenue / California Street,33,90,Subscriber,94040
916469,743,9/2/2015 16:47,San Jose Diridon Caltrain Station,2,9/2/2015 16:59,Japantown,9,641,Subscriber,95112
916514,587,9/2/2015 16:57,Temporary Transbay Terminal (Howard at Beale),55,9/2/2015 17:07,San Francisco Caltrain (Townsend at 4th),70,388,Subscriber,95008
916562,458,9/2/2015 17:05,Spear at Folsom,49,9/2/2015 17:12,San Francisco Caltrain 2 (330 Townsend),69,266,Subscriber,94040
916616,387,9/2/2015 17:21,Cowper at University,37,9/2/2015 17:28,Palo Alto Caltrain Station,34,230,Subscriber,94040
916678,1043,9/2/2015 17:38,Market at 10th,67,9/2/2015 17:55,2nd at Townsend,61,548,Subscriber,94025
916728,714,9/2/2015 17:53,San Francisco Caltrain 2 (330 Townsend),69,9/2/2015 18:05,Market at 4th,76,403,Subscriber,94133
916814,691,9/2/2015 18:27,Civic Center BART (7th at Market),72,9/2/2015 18:39,Embarcadero at Folsom,51,613,Subscriber,94121
916828,518,9/2/2015 18:33,San Francisco Caltrain (Townsend at 4th),70,9/2/2015 18:41,Powell Street BART,39,544,Subscriber,94607
916839,598,9/2/2015 18:39,Embarcadero at Vallejo,48,9/2/2015 18:49,2nd at Townsend,61,428,Subscriber,94107
917083,245,9/3/2015 6:21,Temporary Transbay Terminal (Howard at Beale),55,9/3/2015 6:25,Clay at Battery,41,353,Subscriber,94611
917095,836,9/3/2015 6:44,San Francisco Caltrain (Townsend at 4th),70,9/3/2015 6:58,Clay at Battery,41,533,Subscriber,95110
917108,407,9/3/2015 6:53,Powell at Post (Union Square),71,9/3/2015 7:00,San Francisco Caltrain (Townsend at 4th),70,325,Subscriber,94109
917157,685,9/3/2015 7:14,Temporary Transbay Terminal (Howard at Beale),55,9/3/2015 7:26,San Francisco City Hall,58,29,Subscriber,94530
917225,644,9/3/2015 7:48,San Francisco Caltrain (Townsend at 4th),70,9/3/2015 7:58,Clay at Battery,41,505,Subscriber,94065
917266,382,9/3/2015 7:59,Market at Sansome,77,9/3/2015 8:06,2nd at Townsend,61,67,Subscriber,94708
917295,679,9/3/2015 8:08,San Francisco Caltrain 2 (330 Townsend),69,9/3/2015 8:19,Embarcadero at Folsom,51,447,Subscriber,94061
917331,555,9/3/2015 8:14,Market at 10th,67,9/3/2015 8:23,Market at Sansome,77,392,Subscriber,94114
917334,696,9/3/2015 8:16,Temporary Transbay Terminal (Howard at Beale),55,9/3/2015 8:27,Embarcadero at Sansome,60,599,Subscriber,94602
917439,542,9/3/2015 8:41,Market at 10th,67,9/3/2015 8:50,Powell at Post (Union Square),71,389,Subscriber,94102
917465,499,9/3/2015 8:49,Harry Bridges Plaza (Ferry Building),50,9/3/2015 8:58,2nd at Townsend,61,443,Subscriber,94534
917510,838,9/3/2015 8:56,San Francisco Caltrain 2 (330 Townsend),69,9/3/2015 9:10,Broadway St at Battery St,82,422,Subscriber,95130
917556,261,9/3/2015 9:06,Davis at Jackson,42,9/3/2015 9:10,Mechanics Plaza (Market at Battery),75,260,Subscriber,94121
917602,278,9/3/2015 9:23,Steuart at Market,74,9/3/2015 9:28,Broadway St at Battery St,82,134,Subscriber,94702
917792,22809,9/3/2015 11:20,Redwood City Caltrain Station,22,9/3/2015 17:40,Stanford in Redwood City,25,77,Customer,94560
917828,338,9/3/2015 11:51,Harry Bridges Plaza (Ferry Building),50,9/3/2015 11:56,Commercial at Montgomery,45,370,Subscriber,94111
917896,475,9/3/2015 12:59,Commercial at Montgomery,45,9/3/2015 13:07,Beale at Market,56,238,Subscriber,94702
917933,286,9/3/2015 13:46,San Francisco Caltrain (Townsend at 4th),70,9/3/2015 13:51,Townsend at 7th,65,524,Subscriber,94107
918032,277,9/3/2015 15:43,San Antonio Shopping Center,31,9/3/2015 15:48,San Antonio Caltrain Station,29,27,Subscriber,94063
918064,856,9/3/2015 15:58,Market at Sansome,77,9/3/2015 16:13,San Francisco Caltrain (Townsend at 4th),70,529,Subscriber,94403
918077,385,9/3/2015 16:00,Clay at Battery,41,9/3/2015 16:06,Temporary Transbay Terminal (Howard at Beale),55,632,Subscriber,94501
918082,597,9/3/2015 16:02,Howard at 2nd,63,9/3/2015 16:12,San Francisco Caltrain (Townsend at 4th),70,537,Subscriber,94070
918113,265,9/3/2015 16:10,Cowper at University,37,9/3/2015 16:15,Palo Alto Caltrain Station,34,301,Subscriber,94102
918161,504,9/3/2015 16:27,San Francisco Caltrain (Townsend at 4th),70,9/3/2015 16:35,Embarcadero at Folsom,51,484,Subscriber,94105
918164,291,9/3/2015 16:27,Broadway St at Battery St,82,9/3/2015 16:32,Steuart at Market,74,398,Subscriber,94556
918219,313,9/3/2015 16:46,Embarcadero at Sansome,60,9/3/2015 16:51,Steuart at Market,74,360,Subscriber,94595
918249,403,9/3/2015 16:55,Steuart at Market,74,9/3/2015 17:02,2nd at Townsend,61,398,Subscriber,94018
918289,609,9/3/2015 17:03,Steuart at Market,74,9/3/2015 17:14,San Francisco Caltrain (Townsend at 4th),70,519,Subscriber,94002
918323,584,9/3/2015 17:10,Steuart at Market,74,9/3/2015 17:19,San Francisco Caltrain 2 (330 Townsend),69,421,Subscriber,94061
918331,210,9/3/2015 17:12,Townsend at 7th,65,9/3/2015 17:15,San Francisco Caltrain (Townsend at 4th),70,318,Subscriber,95136
918481,508,9/3/2015 17:51,Townsend at 7th,65,9/3/2015 17:59,2nd at South Park,64,86,Subscriber,94105
918542,232,9/3/2015 18:08,Redwood City Caltrain Station,22,9/3/2015 18:11,Franklin at Maple,21,699,Subscriber,94061
918589,246,9/3/2015 18:24,Mountain View City Hall,27,9/3/2015 18:28,Mountain View Caltrain Station,28,48,Subscriber,94109
918652,736,9/3/2015 19:01,Embarcadero at Vallejo,48,9/3/2015 19:13,San Francisco Caltrain 2 (330 Townsend),69,363,Subscriber,94403
918822,193,9/4/2015 6:52,Davis at Jackson,42,9/4/2015 6:55,Commercial at Montgomery,45,575,Subscriber,94111
918829,796,9/4/2015 7:02,Temporary Transbay Terminal (Howard at Beale),55,9/4/2015 7:16,Civic Center BART (7th at Market),72,347,Subscriber,94710
918877,536,9/4/2015 7:31,Market at 10th,67,9/4/2015 7:40,Mechanics Plaza (Market at Battery),75,352,Subscriber,94102
918964,541,9/4/2015 8:05,Harry Bridges Plaza (Ferry Building),50,9/4/2015 8:14,2nd at South Park,64,410,Subscriber,94510
919122,210,9/4/2015 8:51,San Francisco Caltrain 2 (330 Townsend),69,9/4/2015 8:54,2nd at Townsend,61,556,Subscriber,94107
919191,689,9/4/2015 9:08,San Francisco Caltrain 2 (330 Townsend),69,9/4/2015 9:20,Harry Bridges Plaza (Ferry Building),50,459,Subscriber,94010
919209,385,9/4/2015 9:13,2nd at Townsend,61,9/4/2015 9:20,Harry Bridges Plaza (Ferry Building),50,507,Subscriber,94107
919304,705,9/4/2015 10:00,South Van Ness at Market,66,9/4/2015 10:12,Market at 4th,76,529,Subscriber,94122
919318,390,9/4/2015 10:12,Embarcadero at Folsom,51,9/4/2015 10:18,Broadway St at Battery St,82,581,Subscriber,94608
919357,679,9/4/2015 10:48,Broadway St at Battery St,82,9/4/2015 10:59,Powell Street BART,39,514,Subscriber,94901
919388,1740,9/4/2015 11:28,Golden Gate at Polk,59,9/4/2015 11:57,San Francisco Caltrain 2 (330 Townsend),69,421,Customer,60614
919601,749,9/4/2015 15:07,Powell at Post (Union Square),71,9/4/2015 15:19,South Van Ness at Market,66,309,Subscriber,94115
919905,406,9/4/2015 17:11,Civic Center BART (7th at Market),72,9/4/2015 17:18,Mechanics Plaza (Market at Battery),75,277,Subscriber,94130
920038,311,9/4/2015 18:02,Embarcadero at Vallejo,48,9/4/2015 18:07,Steuart at Market,74,69,Subscriber,94706
920040,367,9/4/2015 18:02,Market at 4th,76,9/4/2015 18:08,Clay at Battery,41,291,Subscriber,94611
920078,626,9/4/2015 18:18,Townsend at 7th,65,9/4/2015 18:29,Embarcadero at Bryant,54,336,Subscriber,94103
920256,238,9/5/2015 3:50,Embarcadero at Sansome,60,9/5/2015 3:54,Davis at Jackson,42,277,Subscriber,94111
920272,233,9/5/2015 8:32,Howard at 2nd,63,9/5/2015 8:36,5th at Howard,57,472,Subscriber,94105
920511,96,9/5/2015 14:47,Harry Bridges Plaza (Ferry Building),50,9/5/2015 14:48,Harry Bridges Plaza (Ferry Building),50,425,Customer,93003
920518,1651,9/5/2015 14:51,Harry Bridges Plaza (Ferry Building),50,9/5/2015 15:19,Market at 4th,76,356,Customer,90403
920571,6990,9/5/2015 16:15,Broadway St at Battery St,82,9/5/2015 18:11,Broadway St at Battery St,82,542,Customer,91387
920708,660,9/5/2015 20:03,Clay at Battery,41,9/5/2015 20:14,Spear at Folsom,49,877,Subscriber,94105
920764,1419,9/5/2015 23:59,2nd at Townsend,61,9/6/2015 0:23,Clay at Battery,41,418,Customer,92118
920876,2680,9/6/2015 11:48,Embarcadero at Vallejo,48,9/6/2015 12:33,Embarcadero at Sansome,60,501,Customer,70855090
920907,617,9/6/2015 12:34,San Francisco Caltrain 2 (330 Townsend),69,9/6/2015 12:44,Steuart at Market,74,621,Subscriber,94107
920935,957,9/6/2015 13:30,Embarcadero at Vallejo,48,9/6/2015 13:46,Yerba Buena Center of the Arts (3rd @ Howard),68,269,Customer,33019
920959,286,9/6/2015 13:51,Powell Street BART,39,9/6/2015 13:56,Powell Street BART,39,556,Customer,nil
920982,1202,9/6/2015 14:37,Beale at Market,56,9/6/2015 14:57,Temporary Transbay Terminal (Howard at Beale),55,377,Customer,94609
920987,284,9/6/2015 14:42,Market at Sansome,77,9/6/2015 14:46,Market at 4th,76,496,Subscriber,94612
921019,100,9/6/2015 15:38,Civic Center BART (7th at Market),72,9/6/2015 15:39,Civic Center BART (7th at Market),72,677,Subscriber,94702
921166,451,9/6/2015 21:11,Powell at Post (Union Square),71,9/6/2015 21:19,Powell at Post (Union Square),71,576,Customer,94404
921191,737,9/6/2015 23:28,Washington at Kearny,46,9/6/2015 23:40,Powell at Post (Union Square),71,336,Subscriber,94610
921263,6733,9/7/2015 10:09,Market at 4th,76,9/7/2015 12:02,Yerba Buena Center of the Arts (3rd @ Howard),68,397,Customer,90013
921321,36531,9/7/2015 12:28,Embarcadero at Sansome,60,9/7/2015 22:36,Market at 4th,76,389,Customer,11213
921406,717,9/7/2015 15:29,Townsend at 7th,65,9/7/2015 15:41,Civic Center BART (7th at Market),72,504,Customer,14850
921531,640,9/7/2015 19:30,San Antonio Caltrain Station,29,9/7/2015 19:40,Rengstorff Avenue / California Street,33,239,Subscriber,94043
921550,702,9/7/2015 20:46,Embarcadero at Folsom,51,9/7/2015 20:58,5th at Howard,57,214,Customer,92606
921580,1083,9/8/2015 3:32,Townsend at 7th,65,9/8/2015 3:50,Howard at 2nd,63,357,Subscriber,94107
921655,359,9/8/2015 7:12,Harry Bridges Plaza (Ferry Building),50,9/8/2015 7:18,Howard at 2nd,63,450,Subscriber,94901
921680,394,9/8/2015 7:19,Temporary Transbay Terminal (Howard at Beale),55,9/8/2015 7:25,Commercial at Montgomery,45,340,Subscriber,94611
921727,416,9/8/2015 7:40,Embarcadero at Folsom,51,9/8/2015 7:47,2nd at Townsend,61,497,Subscriber,94945
921744,764,9/8/2015 7:46,Japantown,9,9/8/2015 7:58,San Jose Diridon Caltrain Station,2,261,Subscriber,95112
921776,209,9/8/2015 7:55,San Jose Diridon Caltrain Station,2,9/8/2015 7:58,Santa Clara at Almaden,4,696,Subscriber,95020
921885,782,9/8/2015 8:21,2nd at Townsend,61,9/8/2015 8:34,Market at Sansome,77,421,Subscriber,95051
921990,745,9/8/2015 8:50,San Francisco Caltrain 2 (330 Townsend),69,9/8/2015 9:03,Civic Center BART (7th at Market),72,271,Subscriber,94040
922013,744,9/8/2015 8:55,San Francisco Caltrain 2 (330 Townsend),69,9/8/2015 9:07,Steuart at Market,74,479,Subscriber,95051
922017,242,9/8/2015 8:56,Steuart at Market,74,9/8/2015 9:00,Clay at Battery,41,455,Subscriber,94596
922097,410,9/8/2015 9:16,Post at Kearny,47,9/8/2015 9:23,Market at Sansome,77,267,Customer,80201
922133,393,9/8/2015 9:31,5th at Howard,57,9/8/2015 9:37,Powell at Post (Union Square),71,384,Subscriber,94103
922237,405,9/8/2015 10:18,5th at Howard,57,9/8/2015 10:25,Market at Sansome,77,368,Subscriber,94608
922238,394,9/8/2015 10:19,Clay at Battery,41,9/8/2015 10:25,Grant Avenue at Columbus Avenue,73,527,Subscriber,94708
922295,637,9/8/2015 11:17,Market at Sansome,77,9/8/2015 11:28,San Francisco Caltrain (Townsend at 4th),70,631,Subscriber,94549
922353,404,9/8/2015 12:26,Steuart at Market,74,9/8/2015 12:33,Embarcadero at Vallejo,48,535,Subscriber,94708
922376,230,9/8/2015 12:55,San Francisco Caltrain 2 (330 Townsend),69,9/8/2015 12:59,2nd at Townsend,61,488,Subscriber,94037
922625,320,9/8/2015 16:36,Embarcadero at Bryant,54,9/8/2015 16:41,Harry Bridges Plaza (Ferry Building),50,394,Subscriber,94945
922652,840,9/8/2015 16:50,Beale at Market,56,9/8/2015 17:04,San Francisco Caltrain 2 (330 Townsend),69,529,Subscriber,95136
922674,459,9/8/2015 16:58,Beale at Market,56,9/8/2015 17:06,Embarcadero at Sansome,60,559,Subscriber,94111
922675,838,9/8/2015 16:58,Steuart at Market,74,9/8/2015 17:12,San Francisco Caltrain (Townsend at 4th),70,289,Subscriber,95133
922890,896,9/8/2015 17:47,Market at 10th,67,9/8/2015 18:02,Spear at Folsom,49,415,Subscriber,94105
922949,633,9/8/2015 18:03,Townsend at 7th,65,9/8/2015 18:13,Embarcadero at Bryant,54,547,Subscriber,94103
922952,429,9/8/2015 18:03,Market at Sansome,77,9/8/2015 18:10,Grant Avenue at Columbus Avenue,73,542,Subscriber,94133
922957,592,9/8/2015 18:05,Beale at Market,56,9/8/2015 18:14,Golden Gate at Polk,59,16,Subscriber,94109
922990,733,9/8/2015 18:12,Embarcadero at Folsom,51,9/8/2015 18:24,San Francisco Caltrain (Townsend at 4th),70,351,Subscriber,95129
923033,231,9/8/2015 18:28,Evelyn Park and Ride,30,9/8/2015 18:32,Mountain View Caltrain Station,28,46,Subscriber,94133
923119,227,9/8/2015 19:03,2nd at Folsom,62,9/8/2015 19:06,Market at Sansome,77,33,Subscriber,94612
923141,541,9/8/2015 19:13,2nd at South Park,64,9/8/2015 19:22,Washington at Kearny,46,371,Subscriber,94114
923149,740,9/8/2015 19:16,San Francisco Caltrain (Townsend at 4th),70,9/8/2015 19:28,Broadway St at Battery St,82,629,Subscriber,94133
923252,1166,9/8/2015 21:54,Mountain View Caltrain Station,28,9/8/2015 22:14,Mountain View City Hall,27,197,Subscriber,94309
923314,771,9/9/2015 6:46,San Francisco Caltrain (Townsend at 4th),70,9/9/2015 6:59,Harry Bridges Plaza (Ferry Building),50,432,Subscriber,94065
923446,498,9/9/2015 7:45,South Van Ness at Market,66,9/9/2015 7:53,Market at Sansome,77,504,Subscriber,94102
923466,215,9/9/2015 7:49,San Francisco Caltrain 2 (330 Townsend),69,9/9/2015 7:53,Townsend at 7th,65,411,Subscriber,94043
923517,610,9/9/2015 7:59,Golden Gate at Polk,59,9/9/2015 8:10,San Francisco Caltrain 2 (330 Townsend),69,69,Subscriber,94109
923545,389,9/9/2015 8:06,Embarcadero at Bryant,54,9/9/2015 8:12,San Francisco Caltrain (Townsend at 4th),70,394,Subscriber,94105
923704,241,9/9/2015 8:43,Golden Gate at Polk,59,9/9/2015 8:47,Market at 10th,67,513,Subscriber,94121
923715,401,9/9/2015 8:45,Spear at Folsom,49,9/9/2015 8:52,Broadway St at Battery St,82,291,Subscriber,94105
923755,254,9/9/2015 8:52,San Francisco Caltrain 2 (330 Townsend),69,9/9/2015 8:56,Townsend at 7th,65,448,Subscriber,94041
923828,480,9/9/2015 9:08,Market at 4th,76,9/9/2015 9:16,San Francisco Caltrain (Townsend at 4th),70,282,Subscriber,94105
923837,611,9/9/2015 9:10,San Francisco Caltrain 2 (330 Townsend),69,9/9/2015 9:20,Steuart at Market,74,597,Subscriber,94107
923857,491,9/9/2015 9:17,Ryland Park,84,9/9/2015 9:25,San Jose Diridon Caltrain Station,2,202,Subscriber,95110
923878,455,9/9/2015 9:22,2nd at Townsend,61,9/9/2015 9:30,Market at Sansome,77,547,Subscriber,94306
923964,578,9/9/2015 9:53,Steuart at Market,74,9/9/2015 10:03,Embarcadero at Sansome,60,361,Subscriber,94612
923986,424,9/9/2015 10:03,2nd at Townsend,61,9/9/2015 10:10,Townsend at 7th,65,357,Subscriber,94804
924004,411,9/9/2015 10:14,San Francisco Caltrain 2 (330 Townsend),69,9/9/2015 10:21,Powell Street BART,39,266,Subscriber,94070
924006,468,9/9/2015 10:15,Post at Kearny,47,9/9/2015 10:23,Embarcadero at Folsom,51,493,Subscriber,94108
924014,407,9/9/2015 10:23,Mechanics Plaza (Market at Battery),75,9/9/2015 10:29,Washington at Kearny,46,96,Subscriber,94702
924068,466,9/9/2015 11:37,Embarcadero at Vallejo,48,9/9/2015 11:45,Embarcadero at Bryant,54,328,Subscriber,94105
924111,380,9/9/2015 12:05,Market at Sansome,77,9/9/2015 12:11,2nd at South Park,64,878,Subscriber,94544
924140,289,9/9/2015 12:34,Beale at Market,56,9/9/2015 12:39,Clay at Battery,41,236,Subscriber,94598
924149,485,9/9/2015 12:53,Embarcadero at Sansome,60,9/9/2015 13:01,Clay at Battery,41,567,Subscriber,94133
924173,318,9/9/2015 13:16,Davis at Jackson,42,9/9/2015 13:22,Market at Sansome,77,547,Subscriber,94306
924228,2922,9/9/2015 14:30,Post at Kearny,47,9/9/2015 15:19,Post at Kearny,47,406,Subscriber,94939
924235,543,9/9/2015 14:47,San Francisco City Hall,58,9/9/2015 14:56,Market at Sansome,77,632,Subscriber,94301
924414,576,9/9/2015 16:35,Market at Sansome,77,9/9/2015 16:45,San Francisco Caltrain (Townsend at 4th),70,579,Subscriber,94002
924542,879,9/9/2015 17:10,Embarcadero at Vallejo,48,9/9/2015 17:25,San Francisco Caltrain 2 (330 Townsend),69,636,Subscriber,95136
924592,846,9/9/2015 17:20,Market at 10th,67,9/9/2015 17:34,San Francisco Caltrain 2 (330 Townsend),69,554,Subscriber,94401
924670,298,9/9/2015 17:41,Commercial at Montgomery,45,9/9/2015 17:46,Mechanics Plaza (Market at Battery),75,326,Subscriber,94704
924710,719,9/9/2015 17:55,Temporary Transbay Terminal (Howard at Beale),55,9/9/2015 18:07,San Francisco Caltrain 2 (330 Townsend),69,377,Subscriber,94117
924777,1399,9/9/2015 18:15,2nd at Folsom,62,9/9/2015 18:39,2nd at South Park,64,334,Subscriber,94107
924792,428,9/9/2015 18:21,2nd at Townsend,61,9/9/2015 18:28,Market at Sansome,77,619,Subscriber,94104
924853,235,9/9/2015 18:50,Powell Street BART,39,9/9/2015 18:54,Golden Gate at Polk,59,86,Subscriber,94109
925070,278,9/9/2015 22:54,Broadway St at Battery St,82,9/9/2015 22:59,Steuart at Market,74,441,Subscriber,94610
925072,546,9/9/2015 22:56,2nd at Townsend,61,9/9/2015 23:06,5th at Howard,57,269,Subscriber,94112
925101,358,9/10/2015 6:20,Temporary Transbay Terminal (Howard at Beale),55,9/10/2015 6:26,Commercial at Montgomery,45,422,Subscriber,94611
925112,518,9/10/2015 6:47,Market at 10th,67,9/10/2015 6:55,Market at Sansome,77,191,Subscriber,94102
925178,111,9/10/2015 7:26,Powell Street BART,39,9/10/2015 7:28,5th at Howard,57,407,Subscriber,94558
925313,311,9/10/2015 8:06,Commercial at Montgomery,45,9/10/2015 8:11,Davis at Jackson,42,422,Subscriber,94111
925316,1514,9/10/2015 8:07,Howard at 2nd,63,9/10/2015 8:32,Market at Sansome,77,584,Customer,33437
925357,174,9/10/2015 8:18,San Antonio Shopping Center,31,9/10/2015 8:21,San Antonio Caltrain Station,29,120,Subscriber,94040
925365,261,9/10/2015 8:21,Harry Bridges Plaza (Ferry Building),50,9/10/2015 8:25,Embarcadero at Sansome,60,488,Subscriber,94102
925404,501,9/10/2015 8:28,San Francisco Caltrain (Townsend at 4th),70,9/10/2015 8:37,5th at Howard,57,468,Subscriber,94303
925423,546,9/10/2015 8:34,Embarcadero at Bryant,54,9/10/2015 8:43,Mechanics Plaza (Market at Battery),75,503,Subscriber,94105
925524,657,9/10/2015 9:00,San Francisco Caltrain 2 (330 Townsend),69,9/10/2015 9:11,Temporary Transbay Terminal (Howard at Beale),55,378,Subscriber,94402
925556,396,9/10/2015 9:05,Civic Center BART (7th at Market),72,9/10/2015 9:12,South Van Ness at Market,66,418,Subscriber,94611
925602,473,9/10/2015 9:17,San Francisco Caltrain 2 (330 Townsend),69,9/10/2015 9:25,Howard at 2nd,63,275,Subscriber,94105
925623,165,9/10/2015 9:22,Redwood City Caltrain Station,22,9/10/2015 9:24,San Mateo County Center,23,55,Subscriber,94707
925741,383,9/10/2015 10:10,Market at 4th,76,9/10/2015 10:16,Market at 10th,67,512,Subscriber,94133
925816,470,9/10/2015 11:31,Powell Street BART,39,9/10/2015 11:39,South Van Ness at Market,66,542,Subscriber,94118
925977,1093,9/10/2015 14:19,Townsend at 7th,65,9/10/2015 14:37,Harry Bridges Plaza (Ferry Building),50,425,Subscriber,94107
925980,765,9/10/2015 14:22,Powell at Post (Union Square),71,9/10/2015 14:35,Embarcadero at Bryant,54,518,Subscriber,94122
926085,750,9/10/2015 15:48,Embarcadero at Vallejo,48,9/10/2015 16:01,Market at 4th,76,420,Subscriber,94107
926106,256,9/10/2015 16:00,Temporary Transbay Terminal (Howard at Beale),55,9/10/2015 16:04,2nd at Folsom,62,461,Subscriber,94710
926116,514,9/10/2015 16:05,Spear at Folsom,49,9/10/2015 16:13,San Francisco Caltrain (Townsend at 4th),70,395,Subscriber,95008
926138,808,9/10/2015 16:14,Beale at Market,56,9/10/2015 16:27,San Francisco Caltrain (Townsend at 4th),70,284,Subscriber,94402
